Date,Open,High,Low,Adj Close,Volume,Target,MA5,MA10
2011-03-03,4.896,4.958,4.812,4.872,3201000,1,4.7928,4.656599999999999
2011-03-04,4.896,4.998,4.756,4.99,7900500,0,4.8464,4.6836
2011-03-07,4.986,5.08,4.94,4.988,10168000,0,4.8884,4.7188
2011-03-08,4.92,4.992,4.8,4.932,6999500,1,4.9172,4.7746
2011-03-09,4.932,4.998,4.854,4.944,4624000,0,4.945200000000001,4.8324
2011-03-10,4.888,4.898,4.746,4.802,5085000,1,4.9312,4.862
2011-03-11,4.77,4.85,4.706,4.814,4654000,0,4.896,4.8712
2011-03-14,4.764,4.8,4.64,4.65,5830000,0,4.8284,4.8584000000000005
2011-03-15,4.44,4.592,4.36,4.59,6594000,0,4.76,4.8386000000000005
2011-03-16,4.572,4.65,4.538,4.564,5848500,0,4.684,4.8146
2011-03-17,4.648,4.686,4.528,4.562,4613000,1,4.636,4.783600000000001
2011-03-18,4.638,4.638,4.502,4.592,3439500,0,4.5916,4.7438
2011-03-21,4.61,4.61,4.508,4.546,2058500,0,4.5708,4.6996
2011-03-22,4.546,4.572,4.4,4.438,2914500,1,4.5404,4.6502
2011-03-23,4.422,4.454,4.354,4.442,2114000,1,4.516,4.6
2011-03-24,4.428,4.476,4.396,4.466,2311000,1,4.4968,4.5664
2011-03-25,4.486,4.6,4.48,4.55,2840000,1,4.4884,4.54
2011-03-28,4.54,4.708,4.51,4.65,5290500,1,4.5092,4.54
2011-03-29,4.66,4.8,4.642,4.784,3777000,0,4.5784,4.5594
2011-03-30,4.822,4.898,4.602,4.742,6116500,1,4.6384,4.5772
2011-03-31,5.31,5.742,5.3,5.55,57589000,0,4.8552,4.676
2011-04-01,5.49,5.636,5.314,5.332,14324000,0,5.0116,4.75
2011-04-04,5.366,5.4,5.046,5.166,13046500,1,5.1148,4.811999999999999
2011-04-05,5.18,5.4,5.138,5.34,15904500,0,5.226000000000001,4.902200000000001
2011-04-06,5.398,5.402,5.16,5.298,6441500,1,5.3372,4.9878
2011-04-07,5.37,5.588,5.29,5.448,14051500,0,5.3168,5.086
2011-04-08,5.516,5.52,5.272,5.298,9732000,0,5.3100000000000005,5.1608
2011-04-11,5.294,5.306,5.004,5.054,6847000,0,5.287599999999999,5.2012
2011-04-12,5.016,5.042,4.86,4.93,6787000,1,5.2056,5.2158
2011-04-13,5.026,5.138,4.962,4.986,6057500,1,5.1432,5.2402
2011-04-14,4.974,5.056,4.84,5.028,4917000,1,5.0592,5.188
2011-04-15,5.13,5.236,5.082,5.116,4717500,0,5.022799999999999,5.1664
2011-04-18,5.026,5.124,4.872,5.006,5169500,1,5.013199999999999,5.1504
2011-04-19,5.052,5.052,4.93,5.032,2743500,1,5.0336,5.1196
2011-04-20,5.14,5.218,5.06,5.15,4186000,1,5.0664,5.104799999999999
2011-04-21,5.17,5.396,5.118,5.348,6930500,0,5.1304,5.094799999999999
2011-04-25,5.34,5.346,5.194,5.278,4004500,1,5.1628,5.0927999999999995
2011-04-26,5.332,5.45,5.262,5.386,7000000,1,5.2387999999999995,5.1259999999999994
2011-04-27,5.386,5.472,5.326,5.416,4984500,1,5.3156,5.1746
2011-04-28,5.414,5.538,5.344,5.532,8000000,0,5.3919999999999995,5.2292000000000005
2011-04-29,5.538,5.574,5.484,5.52,3630000,0,5.426399999999999,5.2783999999999995
2011-05-02,5.52,5.56,5.412,5.49,3923000,0,5.4688,5.3158
2011-05-03,5.476,5.478,5.3,5.374,4569500,0,5.4664,5.352600000000001
2011-05-04,5.356,5.4,5.15,5.338,5222500,0,5.4508,5.3832
2011-05-05,5.44,5.488,5.234,5.288,6092500,1,5.402,5.397
2011-05-06,5.38,5.54,5.324,5.424,4908500,1,5.3828000000000005,5.4046
2011-05-09,5.4,5.6,5.37,5.582,4582000,1,5.4012,5.435
2011-05-10,5.648,5.79,5.582,5.666,7676500,0,5.4596,5.463
2011-05-11,5.64,5.66,5.384,5.414,4812500,1,5.4748,5.4628
2011-05-12,5.414,5.548,5.33,5.534,3140000,0,5.523999999999999,5.463
2011-05-13,5.6,5.638,5.46,5.51,3307500,0,5.5412,5.462
2011-05-16,5.598,5.598,5.31,5.32,3778500,0,5.4887999999999995,5.445
2011-05-17,5.4,5.4,5.144,5.192,6171000,1,5.394,5.4268
2011-05-18,5.22,5.294,5.104,5.27,3647500,1,5.3652,5.42
2011-05-19,5.406,5.688,5.32,5.64,13275500,0,5.3864,5.4552
2011-05-20,5.652,5.656,5.47,5.594,4212500,0,5.4032,5.4722
2011-05-23,5.524,5.524,5.324,5.364,4318000,0,5.412,5.4504
2011-05-24,5.404,5.5,5.32,5.344,3068500,1,5.4424,5.418200000000001
2011-05-25,5.38,5.802,5.234,5.796,23465500,1,5.5476,5.4564
2011-05-26,5.764,5.952,5.62,5.896,16684500,1,5.5988,5.4926
2011-05-27,5.908,5.934,5.764,5.91,8435500,1,5.662,5.5326
2011-05-31,5.938,6.056,5.91,6.028,16452500,0,5.7948,5.6034
2011-06-01,6.0,6.02,5.676,5.704,7649500,1,5.8668,5.6546
2011-06-02,5.704,5.864,5.702,5.752,4931500,1,5.858,5.7028
2011-06-03,5.99,6.3,5.9,6.026,31046000,0,5.8839999999999995,5.7414000000000005
2011-06-06,6.02,6.026,5.652,5.74,11655500,0,5.85,5.756
2011-06-07,5.788,5.878,5.652,5.674,6110500,0,5.7792,5.787
2011-06-08,5.688,5.72,5.404,5.424,8479500,1,5.7232,5.795
2011-06-09,5.486,5.62,5.42,5.524,8016000,1,5.6776,5.767799999999999
2011-06-10,5.504,5.66,5.47,5.572,7833000,1,5.5868,5.7354
2011-06-13,5.614,5.776,5.576,5.686,8567000,1,5.576,5.713
2011-06-14,5.708,5.94,5.704,5.72,7867000,0,5.5852,5.6822
2011-06-15,5.688,5.69,5.414,5.464,6725000,0,5.5932,5.6582
2011-06-16,5.534,5.6,5.148,5.3,9211000,0,5.5484,5.6129999999999995
2011-06-17,5.374,5.54,5.228,5.3,8570000,0,5.494,5.5404
2011-06-20,5.258,5.292,5.1,5.202,7689000,1,5.3972,5.4866
2011-06-21,5.248,5.546,5.2,5.506,7480000,0,5.3544,5.4698
2011-06-22,5.474,5.65,5.42,5.442,7378000,1,5.35,5.4716000000000005
2011-06-23,5.44,5.544,5.242,5.542,5850000,0,5.3984,5.4734
2011-06-24,5.528,5.594,5.452,5.514,18042500,0,5.4412,5.467599999999999
2011-06-27,5.546,5.656,5.462,5.492,9047000,1,5.4992,5.4482
2011-06-28,5.558,5.65,5.534,5.622,4446000,1,5.5224,5.4384
2011-06-29,5.7,5.818,5.614,5.658,7309000,1,5.5656,5.457800000000001
2011-06-30,5.7,5.866,5.68,5.826,4733500,0,5.622400000000001,5.5104
2011-07-01,5.814,5.92,5.76,5.804,4274500,1,5.680400000000001,5.5607999999999995
2011-07-05,5.804,5.904,5.742,5.828,4980000,0,5.7476,5.6234
2011-07-06,5.828,5.828,5.71,5.792,4634500,1,5.781599999999999,5.652
2011-07-07,5.828,6.0,5.802,5.946,6639500,0,5.8392,5.7024
2011-07-08,5.978,5.978,5.718,5.762,6203000,0,5.8264,5.7244
2011-07-11,5.68,5.706,5.6,5.67,4879000,0,5.7996,5.74
2011-07-12,5.674,5.818,5.6,5.634,5227000,1,5.7608,5.7542
2011-07-13,5.686,5.806,5.58,5.728,5330000,0,5.748,5.764799999999999
2011-07-14,5.706,5.792,5.45,5.522,5795000,0,5.6632,5.7512
2011-07-15,5.558,5.566,5.48,5.516,3545000,0,5.614,5.7202
2011-07-18,5.468,5.49,5.326,5.446,4259500,1,5.5692,5.6844
2011-07-19,5.516,5.622,5.508,5.578,5130500,1,5.558,5.6594
2011-07-20,5.6,6.088,5.56,5.738,15241500,1,5.56,5.654
2011-07-21,5.782,5.832,5.62,5.74,5057500,1,5.6036,5.6334
2011-07-22,5.74,5.908,5.71,5.858,2917500,0,5.672000000000001,5.643
2011-07-25,5.802,5.85,5.688,5.698,3366500,0,5.7224,5.6458
2011-07-26,5.662,5.754,5.594,5.6,3803000,0,5.7268,5.6424
2011-07-27,5.7,5.7,5.502,5.528,4792500,1,5.6848,5.622400000000001
2011-07-28,5.52,5.71,5.508,5.634,4693500,0,5.6636,5.6335999999999995
2011-07-29,5.56,5.68,5.5,5.634,4741000,1,5.6188,5.6454
2011-08-01,5.734,5.796,5.642,5.754,5824500,0,5.63,5.6762
2011-08-02,5.738,5.84,5.454,5.468,7747000,0,5.6036,5.6652000000000005
2011-08-03,5.5,5.566,5.268,5.44,8972500,0,5.586,5.6354
2011-08-04,5.302,5.378,4.934,4.95,15322500,0,5.449199999999999,5.556400000000001
2011-08-05,4.998,5.076,4.566,4.848,9822000,0,5.292,5.4554
2011-08-08,4.62,4.888,4.62,4.728,13042500,1,5.0868,5.3584
2011-08-09,4.83,5.09,4.74,5.012,6667000,0,4.9956000000000005,5.2996
2011-08-10,5.088,5.088,4.726,4.764,7821000,1,4.8604,5.2232
2011-08-11,4.808,5.15,4.8,5.06,4182500,1,4.8824,5.1658
2011-08-12,5.12,5.428,5.072,5.262,5045500,0,4.9652,5.1286
2011-08-15,5.324,5.35,5.186,5.246,3693000,0,5.0687999999999995,5.0778
2011-08-16,5.226,5.308,5.166,5.22,2688500,0,5.1104,5.053
2011-08-17,5.278,5.33,5.102,5.166,3218500,0,5.1908,5.0256
2011-08-18,5.0,5.03,4.694,4.852,5283000,0,5.1492,5.0158
2011-08-19,4.772,4.844,4.4,4.46,6876500,0,4.9887999999999995,4.976999999999999
2011-08-22,4.622,4.76,4.336,4.39,4930500,1,4.8176000000000005,4.9432
2011-08-23,4.386,4.622,4.3,4.592,4345000,1,4.692,4.9012
2011-08-24,4.62,4.786,4.566,4.774,3421500,0,4.6136,4.9022
2011-08-25,4.774,4.774,4.58,4.622,3399000,1,4.5676000000000005,4.8584000000000005
2011-08-26,4.542,4.79,4.414,4.746,3809000,1,4.6248000000000005,4.806800000000001
2011-08-29,4.844,4.97,4.804,4.942,4017000,0,4.735200000000001,4.776400000000001
2011-08-30,4.9,4.954,4.818,4.926,1831000,1,4.8020000000000005,4.747
2011-08-31,4.96,5.1,4.856,4.948,4119000,0,4.8368,4.725199999999999
2011-09-01,4.932,4.974,4.768,4.8,4240500,0,4.872400000000001,4.720000000000001
2011-09-02,4.732,4.798,4.536,4.614,3849500,0,4.845999999999999,4.7354
2011-09-06,4.5,4.64,4.458,4.588,4049000,1,4.7752,4.7552
2011-09-07,4.678,4.8,4.656,4.768,2296000,0,4.7436,4.7728
2011-09-08,4.716,4.806,4.656,4.722,2528500,0,4.6984,4.7676
2011-09-09,4.674,4.714,4.51,4.594,3346500,0,4.6572000000000005,4.7648
2011-09-12,4.5,4.662,4.49,4.576,2833000,1,4.6496,4.7478
2011-09-13,4.602,4.82,4.55,4.816,3632500,1,4.6952,4.7352
2011-09-14,4.85,4.968,4.758,4.868,4154000,1,4.7152,4.7294
2011-09-15,4.916,4.986,4.866,4.964,2813000,1,4.763599999999999,4.731
2011-09-16,4.956,5.168,4.898,5.16,7085500,0,4.8768,4.767
2011-09-19,4.99,5.162,4.764,5.154,5787000,1,4.992400000000001,4.821
2011-09-20,5.196,5.32,5.134,5.202,5902000,0,5.069599999999999,4.8824
2011-09-21,5.19,5.39,5.14,5.17,4938000,0,5.13,4.9226
2011-09-22,5.128,5.222,4.976,5.126,3879000,1,5.1624,4.963
2011-09-23,5.098,5.324,5.07,5.276,5782000,0,5.1856,5.0312
2011-09-26,5.304,5.304,4.98,5.104,4674000,1,5.1756,5.084
2011-09-27,5.2,5.398,5.114,5.238,3372500,0,5.1828,5.1262
2011-09-28,5.2,5.3,4.902,4.918,3616500,0,5.1324,5.1312
2011-09-29,5.144,5.164,4.71,4.824,4648000,1,5.072,5.1172
2011-09-30,4.96,4.978,4.698,4.878,6680500,0,4.992400000000001,5.089
2011-10-03,4.99,5.0,4.65,4.746,5116000,0,4.920800000000001,5.0482
2011-10-04,4.658,4.864,4.586,4.732,6001500,1,4.819599999999999,5.001200000000001
2011-10-05,4.806,5.168,4.67,5.074,6147500,1,4.8508000000000004,4.9916
2011-10-06,5.074,5.52,5.004,5.392,8845500,1,4.9643999999999995,5.0182
2011-10-07,5.396,5.52,5.21,5.398,6558000,1,5.0684000000000005,5.0304
2011-10-10,5.462,5.636,5.4,5.576,4617500,0,5.2344,5.0776
2011-10-11,5.502,5.554,5.418,5.522,2878500,1,5.3924,5.106
2011-10-12,5.45,5.6,5.44,5.56,5617000,1,5.4896,5.1701999999999995
2011-10-13,5.526,5.694,5.488,5.588,5217500,1,5.5287999999999995,5.2466
2011-10-14,5.6,5.71,5.452,5.61,7002500,0,5.5712,5.3198
2011-10-17,5.572,5.6,5.452,5.484,3772500,1,5.5527999999999995,5.393599999999999
2011-10-18,5.46,5.686,5.342,5.668,4998500,0,5.582,5.4872
2011-10-19,5.604,5.612,5.46,5.514,3964500,0,5.572800000000001,5.5312
2011-10-20,5.488,5.494,5.4,5.468,4998500,1,5.5488,5.5388
2011-10-21,5.48,5.66,5.402,5.606,5713000,1,5.548,5.5596000000000005
2011-10-24,5.574,5.778,5.55,5.71,4703000,0,5.5932,5.5729999999999995
2011-10-25,5.646,5.772,5.56,5.65,3272000,0,5.5896,5.585800000000001
2011-10-26,5.638,5.674,5.48,5.596,2552500,1,5.606,5.5893999999999995
2011-10-27,5.668,5.79,5.622,5.752,4347000,1,5.6628,5.6058
2011-10-28,5.7,6.0,5.602,5.974,6320000,0,5.736400000000001,5.6422
2011-10-31,5.9,5.902,5.75,5.874,5670000,0,5.7692,5.6812000000000005
2011-11-01,5.678,5.784,5.6,5.776,3176000,0,5.7944,5.691999999999999
2011-11-02,5.8,5.852,5.65,5.742,4376500,1,5.823600000000001,5.7148
2011-11-03,6.0,6.498,5.906,6.492,12548500,0,5.9716,5.8172
2011-11-04,6.292,6.48,6.102,6.462,15164500,0,6.0692,5.902800000000001
2011-11-07,6.328,6.4,6.15,6.254,6331500,1,6.1452,5.9572
2011-11-08,6.274,6.4,6.144,6.368,5839500,0,6.263599999999999,6.029
2011-11-09,6.174,6.298,6.06,6.176,4768500,1,6.3504000000000005,6.087
2011-11-10,6.188,6.3,6.13,6.266,3736500,1,6.3052,6.1384
2011-11-11,6.38,6.9,6.114,6.728,19341500,0,6.3584000000000005,6.2138
2011-11-14,6.6,6.708,6.524,6.644,6628500,1,6.436400000000001,6.2908
2011-11-15,6.584,6.88,6.546,6.786,4455000,1,6.5200000000000005,6.3918
2011-11-16,6.696,7.0,6.68,6.988,9166000,0,6.6823999999999995,6.5164
2011-11-17,6.9,6.98,6.638,6.736,6746500,0,6.7764,6.5408
2011-11-18,6.728,6.822,6.508,6.52,4514000,0,6.7348,6.5466
2011-11-21,6.488,6.488,6.21,6.352,5158000,1,6.676399999999999,6.556399999999999
2011-11-22,6.352,6.558,6.21,6.414,3663000,0,6.601999999999999,6.561
2011-11-23,6.352,6.41,6.25,6.29,2259000,1,6.4624,6.5724
2011-11-25,6.31,6.482,6.216,6.332,1198000,1,6.3816,6.578999999999999
2011-11-28,6.4,6.656,6.362,6.512,3406000,0,6.38,6.5573999999999995
2011-11-29,6.498,6.614,6.326,6.35,2955500,1,6.379599999999999,6.5280000000000005
2011-11-30,6.5,6.586,6.444,6.548,3801500,0,6.4064,6.5042
2011-12-01,6.514,6.798,6.396,6.52,5151000,1,6.4524,6.4574
2011-12-02,6.566,6.738,6.48,6.66,4014000,1,6.518000000000001,6.449799999999999
2011-12-05,6.706,7.0,6.686,6.884,5800500,1,6.5924000000000005,6.486199999999999
2011-12-06,6.84,6.996,6.806,6.974,4759000,0,6.7172,6.548399999999999
2011-12-07,6.926,6.978,6.76,6.838,3371500,0,6.7752,6.5908
2011-12-08,6.168,6.33,5.922,6.178,16529000,1,6.706799999999999,6.579599999999999
2011-12-09,6.108,6.224,6.056,6.208,6197500,0,6.6164000000000005,6.5672
2011-12-12,6.088,6.124,6.004,6.082,3793500,0,6.456,6.524199999999999
2011-12-13,6.114,6.186,5.782,5.89,4970500,0,6.239199999999999,6.478199999999999
2011-12-14,5.9,5.936,5.6,5.706,5819500,1,6.0128,6.394
2011-12-15,5.734,5.834,5.624,5.724,3501500,0,5.922000000000001,6.314400000000001
2011-12-16,5.758,5.786,5.596,5.6,5148500,0,5.8004,6.2084
2011-12-19,5.618,5.7,5.474,5.55,4935000,1,5.694,6.075
2011-12-20,5.61,5.69,5.544,5.58,4216500,0,5.632,5.935599999999999
